PLAYER_NAME,DRAFT_YEAR,HEIGHT_WO_SHOES_FT_IN,PHYSICAL_SCORE_FINAL,SHOOTING_SCORE,PLAYMAKING_SCORE,DEFENSE_SCORE
drew timme,2022,6' 8.25'',61.65,34.4763146176975,47.87294471941216,36.88153136706856
jabari walker,2022,6' 6.75'',54.43,50.45472674623303,30.761238685606827,43.92790734671928
peyton watson,2022,6' 6.75'',59.3,33.19968132656375,38.05158282142966,64.55214090505594
blake wesley,2022,6' 3.00'',54.71,40.70219404463928,43.9385211908738,39.003015254362026
trevion williams,2022,6' 7.25'',64.8,24.46461322366416,58.01672063907557,56.93160128676086
jaylin williams,2022,6' 8.75'',58.41,46.42334712382655,36.938667263881314,41.57827185071735
alondes williams,2022,6' 3.75'',47.78,38.47892227653151,58.6024178717916,39.71497666166241
trey alexander,2023,6' 3.25'',57.79,61.408402993100566,48.88759412490178,40.132325748050434
amari bailey,2023,6' 3.25'',48.63,48.38475868790121,42.21948315433945,41.44089304135022
emoni bates,2023,6' 8.25'',44.9,52.4942176816844,30.54909908919546,33.63495587614332
reece beekman,2023,6' 1.50'',50.41,49.32720901600711,68.33520713613333,49.8885495716564
anthony black,2023,6' 5.75'',45.45,38.92505249475928,51.67612030958949,54.34772985565506
kobe brown,2023,6' 6.50'',60.31,63.37691839024932,48.23038919037256,48.98898888049384
kobe bufkin,2023,6' 4.25'',48.64,55.001410631049495,48.11190734907929,44.705627619533445
toumani camara,2023,6' 7.00'',59.61,44.63156238529771,35.83684399886294,51.55975059307632
gradey dick,2023,6' 6.25'',47.41,63.86456222013907,39.41303496181289,41.68685631673643
zach edey,2023,7' 3.25'',75.11,,,
adam flagler,2023,6' 1.00'',42.76,60.17820305024307,63.77339633631861,33.25241318177753
coleman hawkins,2023,6' 8.50'',55.95,34.36780405720974,46.93832429018936,51.90150387508583
taylor hendricks,2023,6' 8.25'',57.91,56.92239037325478,34.130448981770975,54.15385786238991
trayce jackson-davis,2023,6' 8.25'',59.09,29.697421515199803,54.668729406631215,71.53741508703621
colby jones,2023,6' 4.50'',48.85,46.60450055355364,59.07949440095008,43.87654981063438
ryan kalkbrenner,2023,7' 0.75'',66.45,,,
arthur kaluma,2023,6' 6.25'',59.06,43.97744769922558,34.782426702897844,35.20989066688388
maxwell lewis,2023,6' 6.25'',58.14,51.88973399212335,42.940775144113445,41.64213366669591
chris livingston,2023,6' 6.00'',56.09,40.26920350215168,29.34850397269197,34.03914275214952
seth lundy,2023,6' 4.00'',56.3,61.69951733533036,31.232055746976243,38.52619537639808
judah mintz,2023,6' 3.00'',35.96,41.01220417685752,60.227724814473376,42.44857221434501
dillon mitchell,2023,6' 6.75'',51.66,20.0,26.32532826581072,42.65407195364509
omari moore,2023,6' 5.25'',54.29,49.81232046108088,58.84147647406158,34.278648415531215
kris murray,2023,6' 7.75'',55.03,49.34124904947488,40.841389477962174,48.595521156005766
grant nelson,2023,6' 10.00'',53.35,38.19452472403174,38.21762185685043,59.33813024274115
julian phillips,2023,6' 6.75'',54.83,40.08905478831325,38.95196966150062,39.205399222269634
jalen pickett,2023,6' 2.00'',49.4,52.12670978875178,69.75374198146827,35.59781728030934
brandin podziemski,2023,6' 3.75'',41.53,62.82275918619556,52.34854914141134,49.36457911552772
olivier-maxence prosper,2023,6' 6.75'',59.48,46.86109796809138,26.183238725030616,32.870079120623
adama sanogo,2023,6' 7.25'',65.25,48.39026263708176,32.72288661707768,46.53909965722552
marcus sasser,2023,6' 1.25'',51.48,62.85130872397069,54.54176856174247,43.73768885225822
ben sheppard,2023,6' 5.25'',46.64,55.93036654929207,46.24490134466953,38.82527767398442
